Iteration,Wolf_ID,X,Y,Fitness,Role
7,20,0.576446,0.484618,7.01766,omega
7,21,0.658495,0.644775,10.9442,omega
7,22,1.00765,0.372713,14.1931,omega
7,23,0.695946,-0.0424588,10.2656,omega
7,24,0.44815,0.405115,3.82479,omega
7,25,0.88731,0.229994,36.0616,omega
7,26,0.0396407,0.732932,6.50194,omega
7,27,-0.253353,0.542603,252.76,omega
7,28,0.839739,0.481953,7.65331,omega
7,29,0.0426619,0.334987,1.48714,omega
7,30,0.561472,0.843309,22.8966,omega
8,1,-0.0596481,0.326916,45.3979,omega
8,2,0.620237,0.853585,11.6268,omega
8,3,1.29204,0.907149,0.214779,omega
8,4,0.357875,0.456196,41.6841,omega
8,5,0.797153,0.340639,2.18751,omega
8,6,0.586872,0.549552,0.210552,omega
8,7,0.339839,0.740587,74.0926,omega
8,8,0.145598,0.486522,121.271,omega
8,9,0.721222,0.858093,1.95438,omega
8,10,0.86565,0.354004,53.411,omega
8,11,0.897081,0.686846,0.143839,omega
8,12,0.95466,0.235092,0.356919,omega
8,13,0.235622,0.526659,416.536,omega
8,14,1.06097,0.638972,12.6502,omega
8,15,0.807928,0.844404,16.2027,omega
8,16,0.662218,0.511415,0.384655,omega
8,17,0.975841,0.635109,0.693984,omega
8,18,0.884051,0.535257,11.1816,omega
8,19,0.745642,1.15167,0.451816,omega
8,20,0.451915,0.360257,2.49978,omega
8,21,0.651363,0.679462,4.57546,omega
8,22,0.93082,0.399197,41.2988,omega
8,23,0.721901,1.88618,27.8443,omega
8,24,0.562555,1.22063,4.47744,omega
8,25,0.359883,0.379311,31.0737,omega
8,26,1.10251,0.800913,54.4112,omega
8,27,1.24272,0.559464,24.459,omega
8,28,0.45234,0.652602,5.0079,omega
8,29,0.926387,0.41862,12.0165,omega
8,30,0.513503,0.607036,28.0769,omega
9,1,-0.0752237,-0.0329219,11.5789,omega
9,2,0.867124,-0.0293229,22.1301,omega
9,3,1.09498,0.396335,58.183,omega
9,4,0.768303,0.509111,11.1787,omega
9,5,1.00748,0.594589,8.73261,omega
9,6,0.821362,-0.16009,4.37864,omega
9,7,-0.00505276,0.769702,39.5103,omega
9,8,1.02712,0.417816,22.3826,omega
9,9,0.711757,0.828164,11.4975,omega
9,10,0.631587,0.263337,15.6479,omega
9,11,0.698298,0.800211,1.40082,omega
9,12,0.936745,0.0801571,45.738,omega
9,13,0.423563,0.545646,22.7817,omega
9,14,0.316913,0.87894,23.6892,omega
9,15,0.726211,0.973496,3.7101,omega
9,16,0.547605,0.643562,0.645273,omega
9,17,1.17939,0.666521,10.0594,omega
9,18,0.75994,0.362408,6.07927,omega
9,19,0.818367,-0.230429,35.5492,omega
9,20,1.47052,0.0105829,2.73492,omega
9,21,0.545996,0.592625,6.63362,omega
9,22,0.908206,0.510097,21.835,omega
9,23,1.16119,0.18716,186.409,omega
9,24,0.603293,1.04708,81.9415,omega
9,25,0.425476,1.01666,6.64955,omega
9,26,1.05328,0.332718,17.2009,omega
9,27,0.730633,0.571346,97.0608,omega
9,28,0.77804,0.796822,20.3695,omega
9,29,0.521581,0.540676,19.3279,omega
9,30,0.464217,0.647517,12.0257,omega
10,1,1.33847,1.22344,1.30495,omega
10,2,1.1322,0.717001,61.0491,omega
10,3,0.564652,0.758968,64.4338,omega
10,4,0.787752,0.636516,0.712695,omega
10,5,0.797627,0.587741,17.6755,omega
10,6,0.451362,0.490563,69.7084,omega
10,7,0.505962,0.547697,60.2503,omega
10,8,1.12105,0.618103,40.5978,omega
10,9,1.20782,0.615242,10.4235,omega
10,10,0.586139,0.415596,1.97352,omega
10,11,0.394116,0.64601,9.86236,omega
10,12,0.742152,0.610419,63.5782,omega
10,13,1.12619,0.424288,13.7455,omega
10,14,1.57274,0.381498,61.0737,omega
10,15,0.313815,0.423126,19.9767,omega
10,16,0.933292,1.05783,12.017,omega
10,17,0.991612,0.317375,52.514,omega
10,18,0.535675,0.276662,4.68443,omega
10,19,0.617672,-0.343234,81.0606,omega
10,20,0.730969,1.13693,463.263,omega
10,21,0.672517,0.827692,8.87991,omega
10,22,0.701053,1.0024,9.91467,omega
10,23,0.929319,1.4422,134.865,omega
10,24,0.910224,0.508004,46.8228,omega
10,25,0.636031,0.367371,70.1572,omega
10,26,1.34378,0.816387,60.3261,omega
10,27,0.604345,0.576829,0.213353,omega
10,28,0.776106,0.574505,3.71559,omega
10,29,0.619376,0.582152,7.44507,omega
10,30,1.01868,0.401169,18.9512,omega
11,1,1.0552,0.600869,32.385,omega
11,2,0.950479,0.467604,31.926,omega
11,3,0.596236,0.857376,19.5615,omega
11,4,0.594955,0.64123,0.0705304,omega
11,5,1.21018,0.618918,0.275865,omega
11,6,0.570976,0.921148,8.52846,omega
11,7,0.631333,0.622634,8.75294,omega
11,8,0.332543,0.830508,40.8032,omega
11,9,1.90105,0.826617,71.2086,omega
11,10,0.919781,0.721519,0.690205,omega
11,11,0.452922,0.462866,24.444,omega
11,12,1.07062,0.757208,0.422056,omega
11,13,0.199871,0.574414,71.2516,omega
11,14,0.61906,0.579939,437.977,omega
11,15,1.6513,0.501073,11.0104,omega
11,16,0.826748,0.978136,3.49384,omega
11,17,0.800031,0.542959,44.345,omega
11,18,0.861038,0.330554,0.226177,omega
11,19,0.483647,0.868908,52.6729,omega
11,20,1.42411,0.685555,36.3863,omega
11,21,0.734976,1.01913,14.2007,omega
11,22,0.313063,1.05791,26.1941,omega
11,23,0.828317,0.190414,33.4791,omega
11,24,0.496725,0.117302,10.2804,omega
11,25,1.21186,0.799294,0.270593,omega
11,26,1.0385,1.00342,98.0002,omega
11,27,1.08423,0.374843,4.63386,omega
11,28,0.741922,0.763325,0.127613,omega
11,29,0.88982,0.599089,4.08611,omega
11,30,1.00061,0.687754,40.5175,omega
12,1,1.28211,0.690503,26.2773,omega
12,2,0.827662,1.46124,18.9952,omega
12,3,1.06888,0.818226,25.3512,omega
12,4,0.753848,0.643825,8.41583,omega
12,5,0.863629,0.704467,71.5515,omega
12,6,0.718931,0.594943,35.6026,omega
12,7,0.653172,0.516228,5.15588,omega
12,8,0.289006,0.598086,52.2745,omega
12,9,1.1592,0.227897,777.748,omega
12,10,1.1026,0.107031,1.55592,omega
12,11,0.468833,0.450798,6.94166,omega
12,12,0.830612,0.67851,15.1381,omega
12,13,0.393449,0.629571,29.2056,omega
12,14,0.773903,0.515834,4.01434,omega
12,15,1.27269,0.0979466,495.804,omega
12,16,0.680012,1.01436,8.71035,omega
12,17,0.275496,1.18371,0.982658,omega
12,18,0.267698,0.592888,16.8977,omega
12,19,1.19527,0.410885,40.5883,omega
12,20,0.885242,1.03544,180.417,omega
12,21,0.89631,0.755781,23.0087,omega
12,22,1.17329,0.647917,92.6127,omega
